userName,score,at,content
fancha turandy,1,2024-03-29 08:14:49,"Sudah bayar Denda tapi tidak bisa menggunakan layanan aplikasi..sdh tlp ke Cs tetap tidak bisa transaksi,kecewa dengan layanan kredivo,pemakan uang RIBA"
Yusra Mauliza Nasution,1,2024-03-29 08:10:14,"Heran selalu bayar semua tagihan tepat waktu dan seblum jatuh tempo, malah tidak bisa di pakai alasan transaksi tidak aman demi keamanan akun, heran maksud kelen apa, tlfn cs malah gak ada jawaban!!!!!"
Jesse Vincent,1,2024-03-29 07:54:46,"makin kemari makin kocak aja ini app,tagihan di bayar tapi di aplikasi belum di bayar katanya,di hubungi cs nga ada solusi,di email malah sama aja. uda besar app nya,perbaikin kinerjanya sebelum banyak yang kecewa."
Deasy Suebtian,1,2024-03-29 07:07:18,Gak jelas kredivo ni ..dah hampir 2th jadi nasabah...sering menggunakan tuk belanja...gak pernah lambat bayar limit GK pernah naik2..score x malah di turunkan ke C lgi... pinjaman tunai jg di bekukn ... betul2 mengecewakan... nasabah yg baik pembayaran x malah di singkirkan....smoga GK bangkrut aza kredivo klu cara x spt itu
Kevin Kholiq,2,2024-03-29 06:41:46,"sebenernya udah di kasih limit terus di pake setengahny, eh pas mau di pake setengahnya lewat top up dompet digital kagabisa dengan alesan sana sini lah di suruh ningkatin kualitan akun dengan transaksi gimana mau ningkatin limit aja kagabusa di pake lewat offline maupun online aneh anjir buat apa ada limit kalo gabisa di pake cob berkali² sampe berhri² kaga bisa terus aneh sumpah habis lunas udh gw mau hapus akun aja percuma padahal kualitas akun bagus ga pernah telat bayar atau bermasalah !!!"
Rendi Septiansyah,1,2024-03-29 06:27:55,"aplikasi yang sangat buruk,proses penyelesaian masalah yang sangat lama setipa melakukan pengaduan lewat email ataupun lewat chat jawabannya seperti robot yang hanya memberikan jawaban seperti kata kata saja"
Aisyah Azalea,1,2024-03-29 06:16:49,kecewa...bayar tepat waktu tp tak bisa gunakan untuk belanja.jadi percuma.sudah kompllain tp no respon..limit tinggi percuma tiada guna.
Bie Qha,5,2024-03-29 05:33:25,kredivo kenapa y dari 2 hari yg lalu saya buat transaksi d shopee kq tidak bisa. terjadi kesalahan sistem coba lagi...
Taopik Hi,5,2024-03-29 05:01:13,"sebagai custamer / nasabah saya merasa kecewa atas pelayanan pembayaran kredivo, kmaren saya melakukan pembayaran sekitar 800 rb tapi tidak di proseskan, sedangkan uang sudah saya transfer sebagai mana biasa saya membayar , dari kmaren di tunggu 3 jam hari ini saya krim email mlah suruh nunggu 5 hari ? uang hasil kerja segitu gitu nya tapi malah masalah seperti ini , jujur saaya kecewa pada kredivo"
Fiqri Prakasetya,3,2024-03-29 04:51:40,"Kenapa transaksi ke shopee saya tidak bisa terus ya alasan keamanan akun padahal cicilan sudah lunas semua bisa di bantu tim kredivo untuk masalah ini, trimakasih."
Parmono Mono,5,2024-03-29 04:41:03,"Makin bagus, saya sudah 2 kali pinjam, sekarang makin cepat, hanya hitungan detik langsung cair. Dan limit saya terus bertambah, sekarang saya sudah akun premium .Terima kasih kredivo, semoga sukses ..."
Mochamad andi,5,2024-03-29 02:36:14,"overall dah bagus, tinggal ubah aja limitnya gausah pake yg 1bulan,3bulan,12 bulan. padahal kalo limitnya full ga dibatas kaya gitu bakal banyak yg install juga min, satu lagi, kalo bisa untuk pembayaran tagihan jangan diwajibkan dulu bayar yg pertama, jadi bebas mau bayar yg mana dulu, biar enak"
Putra Intan,1,2024-03-29 02:04:04,Emng rada-rada ini platform.. Status nya demi keamanan.. Transaksi ja ga bisa.. Sangat tidak rekomenden bangat dah.. Jempoll bnget dah... Tp kebawah...
Achmad Adytiya Nurrasyid,3,2024-03-29 01:32:57,"Kenapa sudah membayar tagihan, tapi limit tidak bisa digunakan? Padahal infonya kalau mau naikin score kredit harus sering transaksi menggunakan kredivo, tapi buktinya malah gak bisa.. padahal top up yg dipilih juga tenor 30 hari dan limit tenor 30 hari juga masih banyak. Sudah tanya ke CS tapi jawaban selalu sama dari dulu seakan akan jawabannnya sudah template seperti itu, tidak ada penyelesaian. Padahal saya cmn mau naikin score credit doang."
Eva Pangaribuan,2,2024-03-29 01:12:37,"untuk cicilan di lazada ok,tapi untuk pinjam krediflazz ribet,cicilan sudah lunas tapi sudah mau 2 bln tidak bisa pinjam dana lg,bingung😟"
Yoeni Yanti,5,2024-03-29 01:01:46,"Sejauh ini lancar dan tdk ada kendala apapun saat transaksi, setelah pelunasan, limit langsung kembali spt semula dan bisa dipakai kapanpun, harapan kedepannya tetap lancar seperti ini, dan limit bisa bertambah otomatis, terima kasih sdh membantu.... Sdh berhasil upgrade akun premium, sukses selalu kredivo, recomended..👍"
Rommy,1,2024-03-29 00:41:57,Sy sdh melunasi semua tagihan sy.tp score credit sy tdk naik2.kt nya hrs sering transaksi utk meningkatkan score.sy cb transaksi dgn membeli pulsa dll lwt kredivo tp selalu d tolak.jd gmn mw meningkatkn score kl setiap transaksi sllu d tolak .
anggi Nurjaman,1,2024-03-29 00:00:37,"Selalu tepat waktu belum pernah tlat mau pinjaman/paylater makanya pembelian rutin biar limit naik, aneh bukannya limit naik malah sebalik nya turun ke credit C"
melinda ayu pradita,1,2024-03-28 21:12:57,"Aplikasi aneh mau buka akun tiba tiba akun keluar, giliran mau masuk klik lupa pin di klik link nya malah di tuntun ke aps awal. Sampe jaman jebot juga ga akan ketemu jalan keluarnya"
Prayoga Rega,1,2024-03-28 20:24:34,"Ga jelas bulan lalu ga bisa ambil limit pinjaman mesti tunggu satu bulan kedepan, setelah satu bulan di coba lagi masih ga bisa, mesti tunggu satu bulan lagi Padahal kredit score udah B Jangankan ambil pinjaman coba pulsa yg kecil aja ga bisa Kocak... Makin buruk ga bisa di gunakan Mending jangan download Gtau apa sebabnya ga bisa di pake udah coba beberapa kali Padahal kredit score udah B Emg paling bagus jangan download apk ini"
mas anto wae Anto,1,2024-03-28 19:40:57,"Aplikasi ini ngejebak nasabah, mereka yg telat memverifikasi pembayaran,kita yg harus nanggung dendanya,,, Hati2 dengan aplikasi ini....!!! Lebih baik dipikir dulu sebelum menggunakan aplikasi ini,jgn sampai kita dijebak dengan aplikasi pinjaman seperti ini.... Dendanya sangat besar dan sangat memberatkan......"
sigit Maul,1,2024-03-28 18:01:49,"tolong lah pihak kredivo, saya sudah membayar dari tgl 26 namun di aplikasi belum terverifikasi terbayar dan masih ada tagihan, sekelas keedivo sistemnya buruk"
Mamat Boim,5,2024-03-28 15:20:37,aplikasi yang bagus dan sangat membantu.. baru daftar langsung dpt limit 10jt.. tingkatkan terus kredivo is the best..
Lilis Maharani,5,2024-03-28 14:36:54,"Masih oke sampai saat ini masih suka dan masih terpakai malah limit udh 3× naik. masukan saja RIZZJGKE jika tertarik memiliki aplikasi yg istimewa ini. Oh ya dan cashbacknya pun ada dalam bentuk kredipoin, dimana nilainya 1 rupiah = 2 poinkredi kalau kalian pakai untuk belanja. Belanja terus yuk dan dapetin poinkredi sebanyak2 nyaa.."
Dhafs 345,1,2024-03-28 14:23:23,"kecewa saya sudah bayar lunas buktinya juga ada tapi tagihan masih ada katanya lagi di proses,sampai kapan bos tagihan saya bisa lunas sedangkan bukti pembayaran dari Indomaret ada. kalo ada apa saya tidak mau tanggung jawab Karana saya sudah membayar lunas dan bukti pembayaran ada dari Indomaret."
Blora Jaya,5,2024-03-28 14:20:31,"Sudah suka dengan apl ini,,apl real membantu beri pinjam pada siyapa sajah yg membutuhkan bantuan tuk ikut gunkan'' RIZZJGKE ''ketika memasukan data diri harus valid dan real yah,, supaya mudah terdeketsi dan lolos pengajuan tanpa kendala..trs amanah dan saling menjaga kredivo oke 👍👍"
Aris M,2,2024-03-28 13:46:46,"Ini kenapa kredivo, saya sudah melakukan pembayaran lewat livin mandiri, pembayaran berhasil Tapi di kredivo tagihan masih ada, belum terverifikasi, saldo atm saya sudah terpotong, tolong bantuan nya, pihak kredivo"
Marisa Dewi,5,2024-03-28 13:11:39,"Bagaimana ini min, katanya 1x24 jam transaksi saya akan dihapus. Tapi nyatanya angsuran masih blm Dihapus. Saya melakukan transaksi qris di merchan Yetty, Yaitu merchant saya sendiri. Masa iyah saya tidak melihat ada uang sebesar 1.300.000 masuk. Tolong bantuannya donk, jgn didiamkan begini terus. Masa iyh saya bulan2 harus bayar, Dgn pinjaman 1.3 juta yg tidak masuk ke merchan Yetty."
Ali Mahgroby,5,2024-03-28 13:09:27,"Saling mendukung dan sukses selalu semoga pembayaran tagihan ku dilancarkan sebelum tempo lunas, bismillah cair terus pemutaran jelas saling menghasilkan, trimakasih kredivo atas pengertiannya selama ini."
Abdul Fikih,1,2024-03-28 12:32:28,Ini kredivo maksdunya gimna ya? Akun saya sangat di rawat tapi tiba tiba score kredit turun . Sistem nya coba tolong di perbaiki
Mochamad Rayan,5,2024-03-28 12:12:52,"Alhamdulillah beberapa layanan aplikasi bisa dipakai walaupun layanan pinjaman uang belum...tapi sabar saja nanti juga bakal di kasih sama kredivo kita ikut sistem saja , terimakasih kredivo"
Aisyah RA,1,2024-03-28 12:10:27,"saya sudah bayar tagihan, tapi tidak dikonfirmasi pihak kredivo nya.padahal sudah menghubungkan cs berkali"" tpi tidak di jawab. sangat buruk!"
echoe koswara,1,2024-03-28 12:04:54,"Pembayaran tidak pernah terlambat sekali pun,,,limit masih ada,,TPI tidak bisa digunakan samasekali,,top up pulsa tidak bisa,,top up dana sama aja....dgn alasan keamanan...payah"
Hery Alkurandi sihombing,5,2024-03-28 12:01:12,"sangat tidak fair..saya telat cuma 1 hari lngsung di blokir, pdahal saya langsung lunasi cicilan bulan depan nya..tanpa alasan. tidak bisa menilai kriteria kreditur"
rini soraya,4,2024-03-28 11:50:10,"Saya udah bayar tagihan tepat waktu, gapernah telat lhoooo. Pas udah bayar, cek transaksi masih ada tagihan. Padahal seharusnya udah lunas"
Idar Salman,4,2024-03-28 10:45:14,Semakkn di tingkatkan layanan terutama limit pinjaman bagi yg bagus pembayaran nya..makasih..nnti di tambahin lg bintangnya untuk motivasi kedepan
CHRISTIAN YUYANTO,5,2024-03-28 08:10:00,Kredivo pelayanan dan pencairan cepat dan bunga rendah asalkan data2 yg diberikan lengkap. Terima kasih sdh membantu. Semoga ke depannya lebih mudah lagi kalo top up...
mas Ach,2,2024-03-28 06:31:27,"Sering make,baik buat belanja dan pinjaman ,rutin bayar tepat waktu,bahkan dipercepat,namun tetep gka naik2 limitnya udah beberapa tahun make padahal"
Yoga Ulun,1,2024-03-28 06:25:25,Sistem bobrok bayat tidak mau ada keterlambatan tapi layanan yg diberikan tidak optimal sebagian transaksi tidak bisa dipakai.
D.M wahyu,1,2024-03-28 06:22:06,"Baru2 ini Akun di blokir permanen,saya konfirmasi ke CS kredivo katanya adanya isu transaksi??isu transaksi di mana yaa?padahal saya cuma ambil pinjaman saja dan membeli hp di shopee,lantas pembayaran terlambat 1 bulan,ketika di lunasi malah di blokir permanen... Kok tim analis sensitif sekali yaa??mungkin ada baiknya saya tidak boleh berhutang kali yaa..."
bang dul,5,2024-03-28 04:43:58,"Top lah Sangat Membantu saat keperluan mendesak,,, kalau bisa kurangin biaya administrasi nya jangan terlalu gede"
Novi Nurmayanti,5,2024-03-28 04:21:19,"Aplikasi yang mudah digunakan dan tidak ribet, bunganya kecil juga, semoga kedepannya dipermudah untuk menaikkan limit"
Yudi Aris Supratman,1,2024-03-28 03:13:16,"gara2 nunggak 2 bulan kurang,padahalal udah lunas plus bunga sudah di bayar full,,tapi malah ngga bisa di gunain,"
Yulianti Safitri,5,2024-03-28 02:59:56,"ngebantu banget waktu mepet butuh dana/barang sat set ga pake lama the best emang kredivo, terus naikin limit akunku, makin cinta dan semangat bayar tepat waktu"
HASAN Aksan,3,2024-03-28 02:59:40,"Iya aksesnya lumayan bagus,cuman pengajuanya kredinya belum di stujui padahal.data identitas dan pekerjaan saya benar dan pakta ril di lapangan sy kasih bintag 3 dulu.klw sudah cair baru sy kasih bintang 5 pul."
Hari Taufik,1,2024-03-28 02:16:56,Baru pertama kali saya di telpon terus sama kredivo padahal jatuh tempo tinggal beberapa jam lagi dan saya blom pernah telat.di telponnya waktu saya sedang berkendara hampir kecelakaan saya syok dengan kejadian itu.setelah lunas.akan saya hapus aplikasi kredivo.
Octo Supramto,1,2024-03-28 01:07:45,"Limit kredit banyak, tp gak bisa buat co toped dkk, alasan keamanan. Edit: 18/08/2023 ⭐⭐⭐⭐⭐limit sudah bisa dipakai lagi, terimakasih 07/11/2023 saya ubah ke ⭐⭐ alasan keamanan, tidak bisa menggunakan limit yg tersedia ⭐Gak jelas"
Hamidah Ariansyah,3,2024-03-28 01:02:42,Kredivo sekarang makin berkurang yaa kualitasnya . Pinjaman tunai disuruh nunggu waktu hitungan mundur .. hitungan mundur selesai sama aja tidak bisa digunakan .. dompet digital juga sama aja. Tidak bisa digunakan dengan alasan keamanan ..
Hari Taufik,1,2024-03-28 00:58:11,Setelah lunas hutang dari aplikasi ini akan saya uninstall.saya blom pernah telat bayar di aplikasi ini.gara2 akan jatuh tempo beberapa jam saja.saya di telpon terus terusan hampir kecelakaan.alias tabrakan.saya benar2 syok.kejadian itu
BeniMG Music,1,2024-03-28 00:28:31,"Padahal udah berapa kali minjem, dan baru kemaren saya lunasin pinjaman saya semua, ehh sekarang gabisa di pake afk nya, pulsa gabisa, dompet digital dan kredifazz juga gabisa trus buat apa ini aplikasi sekarang kalo udah gabisa di pake, sangat mengecewakan"
Mutia Lana,4,2024-03-27 22:35:28,Turun bintang. Biasanya fitur flexi card sangat membantu saya setiap bulan. Sekarang dihapus. Sedangkan fitur lain jarang bgt di pake. Apalagi promo diskon nya. Malah buat yg menengah kebawah ga da.. kredivo ada apa nih...
Kali La,5,2024-03-27 22:00:43,"bagus,, tapi sayang limit pinjaman sedikit,,se'akan-akan takut nggak bisa bayar pinjaman nya,,padahal pembayaran selalu tepat waktu.."
Tito indriarto,1,2024-03-27 21:10:23,"Transaksi saya pinjaman tidak dikirim kirim, sudah 4 jam lebih gimana saya mau make uang, gak dikiirim, udh keluar tagihan, aplikasi apa ini, gak tak bayar gak, orng dpt kiriman pinjeman aja engga"
Ardhy Finanda,1,2024-03-27 19:27:02,"Sy pengguna lama, ga pernah telat, bru kali ini telat 12 hr udh di datengin ke rumah, 3 orang sekaligus menggunakn dua motor seperti buronan sy ini, padahal 1 hr telat, sy cicil dengan bayar denda nya yg gede bgt (10%) cuy.. hr itu juga qu bayar tunggakan sy krn no kompromi atau pengertian kondisi, sy bayar dengan menjual barang yg saya punya.. tdk pertimbangkan rekam jejak pembayaran sy ini kredivo, ekonomi ga selamanya bagus, harusnya dilihat dulu apakah sy baru di kredivo, atau nasabah lama."
Yaya Sukarna,1,2024-03-27 16:20:36,"Saya melakukan pemblokiran akun dan melakukan penghapusan aplikasi karna akun saya tidak bisa ditutup mau pun digunakan, jika ada hal hal yang berkaitan penyalahgunaan data pada akun saya, akan saya melaporkan pada pihak berwajib"
Nashr Fazhara,1,2024-03-27 14:02:38,"Sering bermasalah ketika digunakan untuk bertransaksi dan ternyata tidak bisa, padahal akun tidak terblokir dan posisi tidak ada tunggakan, ndk nyaman dan buat malu kalo transaksi offline"
Putri Mila Sari,5,2024-03-27 13:48:31,"pengajuannya mudah banget ini, saya berasa dimudahkan di kredivo, ohya mimin divo, saya sudah ikutan misi saleturahmi ya, semoga saya bisa dapet giveaway iphone nya.. saya sangat suka kredivo karna cicilannya bunganya kecil sekalii, terimakasih divoo...🙏🙏😇"
dee nardiana,1,2024-03-27 12:47:24,"Ga jelas tiba2 akun diblokir, ga ada penjelasan juga. Percuma punya history kredit bagus kalau ujung2nya mau dipake transaksi gagal dan data diblokir permanen. Udah hubungin CS pun cuma bisa jawab ""melakukan transaksi yg mencurigakan"". Kalau menurut kalian transaksi di shopee atau blibli mencurigakan kenapa kalian kerjasama sama mereka? Udah bertahun2 pake kredivo baru sekarang kayak gini. Padahal udah nyaman, tapi kalau begini mending uninstal. Ga guna juga instal apk ini."
Syamsul Bahri,5,2024-03-27 08:48:19,"Tetap yang terbaik👍👍👍 Sangat rekomended, pinjaman yg cepat dalam memenuhi kebutuhan. Semoga kedepannya Kredivo semakin maju dan sukses. Semoga juga kedepannya lebih banyak promo & meringankan para pelanggannya. Tetap yg terbaik, membuat saya tetap memilih Kredivo sampai dengan sekarang. No ribet Sampai saat ini tetap yang terbaik memberikan pinjaman dan memenuhi kebutuhan keuangan dengan sangat baik."
Hariyanto,1,2024-03-27 08:46:14,"Sudah berbulan bulan. G bisa upgrade akun dari starter. Limit tetap 300rb. Hitungan mundur untuk upgrade tetap di 89 hari 23 jam 59 menit. TIDAK BERUBAH semenit pun. Tanya CS tidak ada jawaban pasti kenapa penyebabnya. Re : Sudah saya ajukan, tp hitung mundurnya TIDAK BERUBAH. Tetap 89 hari,23 jam,59 menit. Lalu..kalau nda bisa 00 hari, 00 jam, 00 menit, gimana bisa upgrade?"
edi pc,1,2024-03-27 08:34:03,"No hp ko bs di ketahui pihak manapun,khususnya para pinjol,ko bs ya,sdngkan no saya awalnya cm di apk ini aja,untuk kredivo tolonglah no hp,nama serta alamat,di privasi,Krn sangat mengganggu sekali,setiap hari hampir 10 kali ada yg telpon menawarkan berbagai pinjaman,"
Chakill Chakill,1,2024-03-27 05:49:49,"kecewa limit nya kecil dan tidak dapat di gunakan pula,udh hubungin ke cs jg tidak ada penyelesaian nya tidak ada perbaikan sama sekali sampai skrg,pelayann yg sangat buruk terhadap konsumen"
Asep Subandi,5,2024-03-27 05:12:42,"Semoga kredivo menjadi amanah terus dan semoga menjadi terbaik dalam pinjaman Untuk transaksi mudah dan cepat, semoga kredivo selalu amanah"
Papua Olivhia 7,1,2024-03-27 04:28:32,"Saya suka aplikasinya sangat membantu Tapi saya kecewa, karena pengaduan saya melalui chat admin TDK ada respon sama sekali, saya bertransaksi menggunakan CRIS tapi edc nya gangguan, dan memang TDK terbayarkan, ketika saya mengulang lagi transaksi nya berhasil, tapi malah menjadi tagihan 2 kali padahal saya cuma transaksi hanya 1 x kali saja. Saya kecewa dan maaf saya harus hapus akun setelah membayar lunas cicilan ku. KECEWA, memang nilainya gak seberapa tapi kepercayaan ku hilang."
Note 5pro,1,2024-03-27 04:21:11,"sorry saya kasih bintang 1 ,karena saya kecewa dengan kredivo, score di turunkan dan akhirnya TDK bisa di gunakan . padahal sudah tidak ada tagihan . aplikasi aneh.tolong di cek klo tidak bisa di rubah ,lebih baik saya hapus saja data nya,menyesal."
Muhamad Ikbal H,1,2024-03-27 04:17:16,"Anjir aplikasi gajelas, pertama daftar akhir bulan Februari :( gagal daftar katanya bisa daftar ulang akhir bulan Maret, daftar lagi hari ini maret gagal lagi dan anjim banget jedanya ga ngotak di suruh daftar lagi di akhir bulan Mei gajelas"
Nurul Mufliha putri,5,2024-03-27 04:02:22,"Kredivo memang mantap di bandingkan yg lain.. Barusan sj ajukan pinjaman pertma langsung di kasih limit 2,4 jt tenor 6 bulan dan cair dalm waktu 1 menit.. Bunganya juga nda terlalu mahal..Terima kasih kredivo pokoknya ga nyesel pake kredivo"
Razka Zahra,5,2024-03-27 04:01:49,"Pertama kali menggunakan aplikasi pinjaman kredivo ternyata benar Benar bagus, bunganya rendah dan untuk pengajuannya gak pakai ribet yg paling aku suka tuh,belanja online pun jadi nyaman.pokok terimakasih kredivo sukses terus dan semakin ditingkatkan ya aplikasinya"
Bahrul Ulum,1,2024-03-27 03:18:13,Kredivo gk jelas.... bayar cepet malah di tangguhkan akunnya...padahal gk pernah telat sama sekali malah terlalu cepat bayarnya.... sangat kecewa
febiyani febiyani,5,2024-03-27 03:15:53,Sangat membantu sekali ya..berbelanja jadi lebih mudah..tanpa ribet²..kerahasiaan data diri jg dijamin Aman..terima kasih kredivo..
Revand Tan,5,2024-03-27 03:15:09,"Aplikasi yang sangat bagus,saya sdh pakai 1 tahun.. Saya selalu bayar jauh hari sebelum jatuh tempo.. Tapi setiap mengajukan akun Premier TIDAK PERNAH di Acc.. Padahal bayar gak pernah telat sekalipun"
nur hasanah,5,2024-03-27 02:55:13,mantep sih cuma jangan sampe telat aja bayar nya tar yg ada gk bisa untuk pembayaran..bunga nya juga rendah
Mochammad Sofian Syuhada',1,2024-03-27 02:38:54,"Apa ini limit masih ada gk bisa pengajuan transaksi payah ini gk recommend dibohongi percuma bayar tertib tp gk bisa dipakai. Limit 1,5 juta buat transaksi 25rb aj kagak bisa gmn konsepnya itu byar ya gak telat payah bos"
Sulis Yuliyanti,2,2024-03-27 02:34:56,"Saya kemarin melakukan pembayaran tapi kredivo masih ada tagihan dan belum ada verifikasi smpai sekarang, sudah kirim email dan live chat tidak d respon , lalu bagaima dengan pembayaran saya. Giliran udah jatuh tempo 2 hari baru bisa terverifikasi jadi nya pembayaran saya malah jadi kurang. Udah saya lunasi smua sekarang malah gak bisa di pakai limitnya"
RayAti G,3,2024-03-27 00:33:13,"Kecewa dengan layanan kredivo, telat sehari dendanya mencekik, belum lagi kalau mau jatuh tempo sudah di ancam, padahal saya gak pernah telat bayar. coba kalau bisa untuk tanggal jatuh temponya di atur sendiri kalau sudah sering transaksi disini."
Indra Pratama,1,2024-03-26 23:00:53,"Pembayaran bagus malah di blokir permanen, saya lunasi semua karena lagi punya uang lebih eh malah di blokirr, gak ada timbal balik langsung di blok aja aplikasi gak baguss Kira "" masih bisa di pake gak kalo mmg ga bisa di pake mau di hapuss"
Edi Suryanto,5,2024-03-26 23:00:36,"Sebenernya kredivo sangat membantu, Tapi syang padahal cicilan sya ngk pernah telat dan selalu lancar, Tapi knapa setiap pengajuan naik limit selalu gagal, Terkecuali sya sering telat bayar, Mohon di tindak lanjutin ya kak, trims"
Viona 17,5,2024-03-26 16:39:43,"Kredivo sangat membantu untuk semua orang... Solusi yg sangat baik.. Cepat, tepat, mantap.... Palagi ini ada yg 24 bulan.. Wah.. Sukses selalu buat kredivo.."
Taufik Pay,1,2024-03-26 16:29:35,setelah update malah gak bisa dibuka. padahal mau bayar cicilan. jangan salahkan & dikenakan denda jika nasabah tidak membayar akibat aplikasinya yang error
Rambu Moniq,5,2024-03-26 15:46:01,"Kenapa yaa limit kredit tidak bisa digunakan yang tenor 6bln dan 12bln,30hari pun hanya sedikit.padahal peraturan akun premium skor A bisa digunakan semua tenor.kecewa dehh😊"
Budi Darma,1,2024-03-26 15:02:15,Jangan download aplikasi ini..pertama aja di kasih limit...setelah itu ngak akan bisa transaksi..alasan keamanan akun..kan ngak masuk akal..auto UNINSTALL...CS juga ngak bisa kasih solusi..padahal akun saya aman2 aja..ngak pernah telat bayar..kamprettt lah kredivo..
Vlog Quinta (Ayu melawati),5,2024-03-26 14:50:28,Selalu terpana dengan kredivo berkali kali transaksi selalu ada kejutan2 menarik .Keren aku suka kredivo layanan cepat bersahabat fitur2 nya selalu dimengerti mantaf selalu memberikan kemudahan sukses selalu kredivo🤗🥰🥰
Asep Elang Raga,1,2024-03-26 14:36:15,"Pinjaman tunai di lunasin .. untuk tanggal 21 april kirain bisa di ambil lagi malah nunggu 1 bulan... Beda sama aplikasi sebelah bisa ambil lagi Langsung di hari berikutnya, Ini malah gak bisa. Padahal blom pernah telat untuk yg pinjaman tunai nya ..."
Pipit 78,5,2024-03-26 14:26:19,Kredivo memang is the best...prosesnya sangatlah mudah dan cepat... cmn dlm hitungan menit pinjaman langsung cair...tp Sy mau kasi saran nich buat kredivo...tlg bunga dan biaya administrasi x di perkecil....biar Sy terima uangx sesuai dg jumlah yg di pinjam...dan jg tlg limit pinjamanx jg di perbesar...biar lbh bisa mengatasi kesulitan keuangan yg Sy alami... terima kasih kredivo...🙏
Sangian donny Gontha,1,2024-03-26 14:23:40,"Ga jadi kasih bintang 5 ... Saya di minta mengembalikan uang yang saya terima dengan alasan sistem lagi eror.. kalau ga bisa kembalikan uangnya,, saya harus pembaruan data melalui pinjol lain ( easycash ) aneh dan sangat mencurigakan !!!!!!"
